playerId,name,fullName,nationality,role,battingHand,playerJsonBowlingType,playerJsonBowlingHand,playerJsonBowlingStyle,metadataFoundForSameId,metadataName,metadataCountry,metadataBowlingType,metadataBowlingHand,metadataBowlingStyle,hasCricsheetRegisterMatch,cricsheetId
722303,Matthew Renshaw,Matthew Thomas Renshaw,Australia,batsman,left,spin,right,Off Break,yes,Matt Renshaw,Australia,spin,right,Right-arm offbreak,yes,218d4d78
605575,Matthew Short,Matthew William Short,Australia,batsman,right,spin,right,Off Break,yes,Matthew Short,Australia,spin,right,Right-arm offbreak,yes,a90e53ec
376169,Michael Neser,Michael Gertges Neser,Australia,bowler,right,pace,right,Right-arm medium-fast,yes,Michael Neser,Australia,pace,right,Right-arm medium-fast,yes,0164b064
272450,Mitchell Marsh,Mitchell Ross Marsh,Australia,all-rounder,right,pace,right,Right-arm medium,yes,Mitchell Marsh,Australia,pace,right,Right-arm medium,yes,3d8feaf8
1213979,Mitchell Owen,Mitchell J Owen,Australia,bowler,right,pace,right,Right-arm medium,yes,Mitchell Owen,Australia,pace,right,Right-arm medium,yes,f2c936d7
311592,Mitchell Starc,Mitchell Aaron Starc,Australia,all-rounder,left,pace,left,Left-arm fast,yes,Mitchell Starc,Australia,pace,left,Left-arm fast,yes,3fb19989
590326,Mitchell Swepson,Mitchell Joseph Swepson,Australia,bowler,right,spin,right,Leg Break,yes,Mitchell Swepson,Australia,spin,right,Legbreak,yes,86b4bf88
826915,Nathan Ellis,Nathan Ellis,Australia,bowler,right,pace,right,Right-arm fast-medium,yes,Nathan Ellis,Australia,pace,right,Right-arm fast-medium,yes,9eb1455b
272279,Nathan Lyon,Nathan Michael Lyon,Australia,bowler,right,spin,right,Off Break,yes,Nathan Lyon,Australia,spin,right,Right-arm offbreak,yes,96a6a7ad
1124290,Nathan McSweeney,Nathan A McSweeney,Australia,batsman,right,spin,right,Off Break,yes,Nathan McSweeney,Australia,spin,right,Right-arm offbreak,yes,e94d2d50
1418371,Oliver Peake,Oliver John Peake,Australia,all-rounder,left,spin,right,Off Break,yes,Oliver Peake,Australia,spin,right,Right-arm offbreak,yes,9c8448ba
489889,Pat Cummins,Patrick James Cummins,Australia,all-rounder,right,pace,right,Right-arm fast,yes,Pat Cummins,Australia,pace,right,Right-arm fast,yes,ded9240e
961713,Riley Meredith,Riley Patrick Meredith,Australia,bowler,right,pace,right,Right-arm fast,yes,Riley Meredith,Australia,pace,right,Right-arm fast,yes,64775749
1393951,Sam Konstas,Sam Konstas,Australia,batsman,right,spin,right,Off Break,no,,,,,,yes,3c34c9e1
826679,Samuel Heazlett,Samuel Daly Heazlett,Australia,batsman,left,spin,left,Slow left-arm orthodox,yes,Sam Heazlett,Australia,spin,left,Slow left-arm orthodox,yes,e00a9155
446548,Scott Boland,Scott Michael Boland,Australia,bowler,right,pace,right,Right-arm fast-medium,yes,Scott Boland,Australia,pace,right,Right-arm fast-medium,yes,d167edd3
398666,Sean Abbott,Sean Anthony Abbott,Australia,all-rounder,right,pace,right,Right-arm fast-medium,yes,Sean Abbott,Australia,pace,right,Right-arm fast-medium,yes,1a2676c5
1123718,Spencer Johnson,Spencer Henry Johnson,Australia,bowler,left,pace,left,Left-arm fast,yes,Spencer Johnson,Australia,pace,left,Left-arm fast,yes,83c3e8e3
267192,Steven Smith,Steven Peter Devereux Smith,Australia,batsman,right,spin,right,Leg Break Googly,yes,Steven Smith,Australia,spin,right,Legbreak googly,yes,30a45b23
1170471,Tanveer Sangha,Tanveer Singh Sangha,Australia,bowler,right,spin,right,Leg Break,yes,Tanveer Sangha,Australia,spin,right,Legbreak,yes,52c952d9
892749,Tim David,Timothy Hays David,Australia,batsman,right,spin,right,Off Break,yes,Tim David,Australia,spin,right,Right-arm offbreak,yes,f1f99156
1193685,Todd Murphy,Todd Raymond Murphy,Australia,bowler,left,spin,right,Off Break,no,,,,,,yes,ac2e7ec0
530011,Travis Head,Travis Michael Head,Australia,batsman,left,spin,right,Off Break,yes,Travis Head,Australia,spin,right,Right-arm offbreak,yes,12b610c2
959833,Wes Agar,Wesley Austin Agar,Australia,all-rounder,right,pace,right,Right-arm fast,yes,Wes Agar,Australia,pace,right,Right-arm fast,yes,15de1f5d
1076722,Will Sutherland,William James Sutherland,Australia,bowler,right,pace,right,Right-arm medium-fast,yes,Will Sutherland,Australia,pace,right,Right-arm medium-fast,yes,bc2d4f2e
1050545,Xavier Bartlett,Xavier Colin Bartlett,Australia,bowler,right,pace,right,Right-arm fast-medium,yes,Xavier Bartlett,Australia,pace,right,Right-arm fast-medium,yes,3b53243a
550137,Abu Hider,Abu Hider Rony,Bangladesh,bowler,right,pace,left,Left-arm fast-medium,yes,Abu Hider,Bangladesh,pace,left,Left-arm fast-medium,yes,31803fac
410763,Abu Jayed,Abu Jayed Chowdhury,Bangladesh,bowler,right,pace,right,Right-arm fast-medium,yes,Abu Jayed,Bangladesh,pace,right,Right-arm fast-medium,yes,1bb0993e
935995,Afif Hossain,Afif Hossain Dhrubo,Bangladesh,all-rounder,left,spin,right,Off Break,yes,Afif Hossain,Bangladesh,spin,right,Right-arm offbreak,yes,37138918
1285154,Anamul Haque,Anamul Haque Bijoy,Bangladesh,batsman,right,pace,right,Right-arm medium,no,,,,,,yes,9fd99cbf
270135,Ariful Haque,Ariful Haque,Bangladesh,bowler,right,pace,right,Right-arm medium-fast,yes,Ariful Haque,Bangladesh,pace,right,Right-arm medium-fast,yes,ad1730bc
