format,playerId,name,fullName,nationality,role,battingHand,hasCricsheetId,bowlingTypeFaced,runs,balls,outs,average,strikeRate,fours,sixes,boundaryRuns,boundaryRunPercent,dotBalls,dotBallPercent,deliveriesSeen,metadataBowlerDeliveries,playerJsonBowlerDeliveries,dismissalKinds
test,1015437,Zubairullah Akbari,Zubairullah Akbari,Afghanistan,bowler,left,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,1015437,Zubairullah Akbari,Zubairullah Akbari,Afghanistan,bowler,left,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,1124283,Aaron Hardie,Aaron Mark Hardie,Australia,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,1124283,Aaron Hardie,Aaron Mark Hardie,Australia,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,379504,Adam Zampa,Adam Zampa,Australia,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,379504,Adam Zampa,Adam Zampa,Australia,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,326434,Alex Carey,Alex Tyson Carey,Australia,wicketkeeper-batsman,left,yes,pace,1553,2395,42,36.98,64.84,184,5,766,49.32,1617,67.52,2424,2246,178,bowled:10; caught:27; caught and bowled:1; lbw:4
test,326434,Alex Carey,Alex Tyson Carey,Australia,wicketkeeper-batsman,left,yes,spin,696,998,22,31.64,69.74,58,10,292,41.95,582,58.32,999,918,81,bowled:6; caught:11; caught and bowled:1; lbw:4
test,505120,Ashton Agar,Ashton Charles Agar,Australia,all-rounder,left,yes,pace,107,147,3,35.67,72.79,18,0,72,67.29,104,70.75,148,148,0,caught:3
test,505120,Ashton Agar,Ashton Charles Agar,Australia,all-rounder,left,yes,spin,88,204,2,44.0,43.14,6,3,42,47.73,158,77.45,204,162,42,bowled:1; caught and bowled:1
test,500268,Ashton Turner,Ashton James Turner,Australia,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,500268,Ashton Turner,Ashton James Turner,Australia,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,381329,Beau Webster,Beau Jacob Webster,Australia,all-rounder,right,yes,pace,333,519,9,37.0,64.16,42,0,168,50.45,348,67.05,524,420,104,bowled:2; caught:5; lbw:1; run out:1
test,381329,Beau Webster,Beau Jacob Webster,Australia,all-rounder,right,yes,spin,119,210,2,59.5,56.67,9,1,42,35.29,136,64.76,210,210,0,bowled:1; caught:1
test,679567,Ben Dwarshuis,Benjamin James Dwarshuis,Australia,bowler,left,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,679567,Ben Dwarshuis,Benjamin James Dwarshuis,Australia,bowler,left,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,603410,Ben McDermott,Benjamin Reginald McDermott,Australia,batsman,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,603410,Ben McDermott,Benjamin Reginald McDermott,Australia,batsman,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,533042,Billy Stanlake,Billy James Stanlake,Australia,bowler,left,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,533042,Billy Stanlake,Billy James Stanlake,Australia,bowler,left,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,931603,Brendan Doggett,Brendan James Doggett,Australia,bowler,right,yes,pace,11,38,0,,28.95,0,0,0,0.0,30,78.95,38,38,0,
test,931603,Brendan Doggett,Brendan James Doggett,Australia,bowler,right,yes,spin,9,13,1,9.0,69.23,1,0,4,44.44,8,61.54,13,13,0,caught:1
test,501011,Cameron Bancroft,Cameron Timothy Bancroft,Australia,batsman,right,yes,pace,311,850,12,25.92,36.59,43,0,172,55.31,707,83.18,851,851,0,bowled:3; caught:5; lbw:4
test,501011,Cameron Bancroft,Cameron Timothy Bancroft,Australia,batsman,right,yes,spin,72,107,3,24.0,67.29,8,1,38,52.78,72,67.29,107,107,0,caught:1; lbw:1; stumped:1
test,1076713,Cameron Green,Cameron Green,Australia,all-rounder,right,yes,pace,1215,2340,39,31.15,51.92,160,10,700,57.61,1795,76.71,2367,2208,159,bowled:12; caught:21; lbw:5; run out:1
test,1076713,Cameron Green,Cameron Green,Australia,all-rounder,right,yes,spin,496,1053,14,35.43,47.1,36,4,168,33.87,748,71.04,1055,962,93,bowled:4; caught:6; lbw:3; stumped:1
test,787073,Chris Green,Christopher James Green,Australia,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,787073,Chris Green,Christopher James Green,Australia,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,1210488,Cooper Connolly,Cooper Connolly,Australia,all-rounder,left,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,1210488,Cooper Connolly,Cooper Connolly,Australia,all-rounder,left,yes,spin,4,6,1,4.0,66.67,1,0,4,100.0,5,83.33,6,6,0,caught:1
