reason,name,deliveryCount
batter_not_in_player_json_output_list,K Kadowaki-Fleming,1334
batter_not_in_player_json_output_list,Sompal Kami,1333
batter_not_in_player_json_output_list,PL Harris,1330
batter_not_in_player_json_output_list,CA Soper,1326
batter_not_in_player_json_output_list,Meet Bhavsar,1312
batter_not_in_player_json_output_list,Hammad Mirza,1311
batter_not_in_player_json_output_list,NT Broom,1308
batter_not_in_player_json_output_list,A Steyn,1307
batter_not_in_player_json_output_list,J Nkomo,1299
batter_not_in_player_json_output_list,RS Williams,1295
batter_not_in_player_json_output_list,AA Obanda,1294
batter_not_in_player_json_output_list,RJ Peterson,1291
batter_not_in_player_json_output_list,RV Uthappa,1285
batter_not_in_player_json_output_list,P Vastrakar,1281
batter_not_in_player_json_output_list,TM Odoyo,1277
batter_not_in_player_json_output_list,Riazat Ali Shah,1277
batter_not_in_player_json_output_list,Fiaz Ahmed,1269
batter_not_in_player_json_output_list,Mohammad Sami,1262
batter_not_in_player_json_output_list,AA Alleyne,1262
batter_not_in_player_json_output_list,Alok Kapali,1259
batter_not_in_player_json_output_list,XM Marshall,1256
batter_not_in_player_json_output_list,CM Gough,1256
batter_not_in_player_json_output_list,JN Gillespie,1255
batter_not_in_player_json_output_list,VS Solanki,1255
batter_not_in_player_json_output_list,Jahurul Islam,1254
batter_not_in_player_json_output_list,SF Mire,1253
batter_not_in_player_json_output_list,TLW Cooper,1251
batter_not_in_player_json_output_list,CG Williams,1248
batter_not_in_player_json_output_list,Abdur Razzak,1237
batter_not_in_player_json_output_list,AT Nidamanuru,1235
batter_not_in_player_json_output_list,GP Thorpe,1229
batter_not_in_player_json_output_list,CL Cairns,1229
batter_not_in_player_json_output_list,SO Tikolo,1226
batter_not_in_player_json_output_list,RJ Nicol,1225
batter_not_in_player_json_output_list,K Doriga,1224
batter_not_in_player_json_output_list,M Levitt,1223
batter_not_in_player_json_output_list,M Musonda,1222
batter_not_in_player_json_output_list,Ainna Hamizah Hashim,1222
batter_not_in_player_json_output_list,S Movva,1221
batter_not_in_player_json_output_list,Shayan Jahangir,1220
batter_not_in_player_json_output_list,CD Cumming,1217
batter_not_in_player_json_output_list,SHT Kandamby,1216
batter_not_in_player_json_output_list,G Ishimwe,1214
