format,playerId,name,fullName,nationality,role,battingHand,hasCricsheetId,paceRuns,paceBalls,paceOuts,paceAverage,paceStrikeRate,paceFours,paceSixes,paceMetadataBowlerDeliveries,pacePlayerJsonBowlerDeliveries,spinRuns,spinBalls,spinOuts,spinAverage,spinStrikeRate,spinFours,spinSixes,spinMetadataBowlerDeliveries,spinPlayerJsonBowlerDeliveries
test,325026,Glenn Maxwell,Glenn James Maxwell,Australia,all-rounder,right,yes,57,108,0,,52.78,8,0,110,0,252,422,13,19.38,59.72,22,7,388,34
test,499660,Gurinder Sandhu,Gurinder Singh Sandhu,Australia,bowler,left,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,1088610,Jack Edwards,Jack Richard Edwards,Australia,all-rounder,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,570854,Jack Wildermuth,Jack David Wildermuth,Australia,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,1168049,Jake Fraser-McGurk,Jake Matthew Fraser-McGurk,Australia,batsman,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,781285,Jake Weatherald,Jake Beath Weatherald,Australia,batsman,left,yes,184,268,9,20.44,68.66,28,1,273,0,17,16,0,,106.25,3,0,16,0
test,533043,James Muirhead,James Matthew Muirhead,Australia,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,272477,Jason Behrendorff,Jason Paul Behrendorff,Australia,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,774223,Jhye Richardson,Jhye Avon Richardson,Australia,bowler,right,yes,17,19,2,8.5,89.47,1,1,19,0,8,6,2,4.0,133.33,0,1,6,0
test,288284,Josh Hazlewood,Josh Reginald Hazlewood,Australia,bowler,left,yes,347,708,27,12.85,49.01,53,0,677,42,192,534,20,9.6,35.96,23,2,519,15
test,662235,Josh Inglis,Joshua Patrick Inglis,Australia,wicketkeeper-batsman,right,yes,71,118,5,14.2,60.17,6,0,109,11,113,109,2,56.5,103.67,12,1,109,0
test,1124282,Josh Philippe,Joshua Ryan Philippe,Australia,batsman,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,272262,Kane Richardson,Kane William Richardson,Australia,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,505110,Kurtis Patterson,Kurtis Robert Patterson,Australia,batsman,left,yes,98,137,1,98.0,71.53,13,1,143,0,46,132,0,,34.85,4,0,132,0
test,1125317,Lance Morris,Lance Richard Thomas Morris,Australia,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,1076376,Liam Scott,Liam Alexander Hamilton Scott,Australia,all-rounder,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,1393948,Mahli Beardman,Mahli Beardman,Australia,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,434813,Marcus Harris,Marcus Sinclair Harris,Australia,batsman,left,yes,511,1100,18,28.39,46.45,62,0,1117,0,96,210,6,16.0,45.71,11,0,210,0
test,325012,Marcus Stoinis,Marcus Peter Stoinis,Australia,all-rounder,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,787987,Marnus Labuschagne,Marnus Labuschagne,Australia,batsman,right,yes,2999,6302,71,42.24,47.59,374,3,6207,173,1546,2430,31,49.87,63.62,139,12,2268,164
test,774219,Matthew Kuhnemann,Matthew Paul Kuhnemann,Australia,bowler,left,yes,7,23,1,7.0,30.43,0,0,23,0,11,44,3,3.67,25.0,2,0,44,0
test,722303,Matthew Renshaw,Matthew Thomas Renshaw,Australia,batsman,left,yes,212,671,9,23.56,31.59,30,0,677,0,360,713,10,36.0,50.49,38,3,642,71
test,605575,Matthew Short,Matthew William Short,Australia,batsman,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,376169,Michael Neser,Michael Gertges Neser,Australia,bowler,right,yes,130,240,6,21.67,54.17,19,1,242,0,1,16,1,1.0,6.25,0,0,16,0
test,272450,Mitchell Marsh,Mitchell Ross Marsh,Australia,all-rounder,right,yes,1174,1921,46,25.52,61.11,168,11,1913,25,800,1532,23,34.78,52.22,84,21,1447,87
test,1213979,Mitchell Owen,Mitchell J Owen,Australia,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,311592,Mitchell Starc,Mitchell Aaron Starc,Australia,all-rounder,left,yes,1422,2412,80,17.77,58.96,175,9,2321,132,983,1621,36,27.31,60.64,70,40,1537,85
test,590326,Mitchell Swepson,Mitchell Joseph Swepson,Australia,bowler,right,yes,18,17,2,9.0,105.88,3,0,17,0,7,31,2,3.5,22.58,0,0,19,12
test,826915,Nathan Ellis,Nathan Ellis,Australia,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,272279,Nathan Lyon,Nathan Michael Lyon,Australia,bowler,right,yes,1071,1864,76,14.09,57.46,143,11,1818,62,512,1253,47,10.89,40.86,57,3,1225,28
